LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
DEU,QGDP,TOT,PC_CHGPY,Q,1977-Q1,4.278412874
DEU,QGDP,TOT,PC_CHGPY,Q,1977-Q2,3.334567951
DEU,QGDP,TOT,PC_CHGPY,Q,1977-Q3,3.273852452
DEU,QGDP,TOT,PC_CHGPY,Q,1977-Q4,3.141081054
DEU,QGDP,TOT,PC_CHGPY,Q,1978-Q1,2.689233198
DEU,QGDP,TOT,PC_CHGPY,Q,1978-Q2,2.515066682
DEU,QGDP,TOT,PC_CHGPY,Q,1978-Q3,3.889417618
DEU,QGDP,TOT,PC_CHGPY,Q,1978-Q4,3.326126341
DEU,QGDP,TOT,PC_CHGPY,Q,1979-Q1,3.029295309
DEU,QGDP,TOT,PC_CHGPY,Q,1979-Q2,5.809207278
DEU,QGDP,TOT,PC_CHGPY,Q,1979-Q3,4.439655589
DEU,QGDP,TOT,PC_CHGPY,Q,1979-Q4,3.865566592
DEU,QGDP,TOT,PC_CHGPY,Q,1980-Q1,4.568469121
DEU,QGDP,TOT,PC_CHGPY,Q,1980-Q2,0.76620879
DEU,QGDP,TOT,PC_CHGPY,Q,1980-Q3,0.366439143
DEU,QGDP,TOT,PC_CHGPY,Q,1980-Q4,-0.377486719
DEU,QGDP,TOT,PC_CHGPY,Q,1981-Q1,0.006600282
DEU,QGDP,TOT,PC_CHGPY,Q,1981-Q2,0.403350474
DEU,QGDP,TOT,PC_CHGPY,Q,1981-Q3,1.068809572
DEU,QGDP,TOT,PC_CHGPY,Q,1981-Q4,1.123386978
DEU,QGDP,TOT,PC_CHGPY,Q,1982-Q1,0.308726571
DEU,QGDP,TOT,PC_CHGPY,Q,1982-Q2,-0.059283061
DEU,QGDP,TOT,PC_CHGPY,Q,1982-Q3,-1.307091516
DEU,QGDP,TOT,PC_CHGPY,Q,1982-Q4,-0.992585298
DEU,QGDP,TOT,PC_CHGPY,Q,1983-Q1,-0.468227457
DEU,QGDP,TOT,PC_CHGPY,Q,1983-Q2,1.202617374
DEU,QGDP,TOT,PC_CHGPY,Q,1983-Q3,1.999914709
DEU,QGDP,TOT,PC_CHGPY,Q,1983-Q4,3.16368421
DEU,QGDP,TOT,PC_CHGPY,Q,1984-Q1,3.589300546
DEU,QGDP,TOT,PC_CHGPY,Q,1984-Q2,0.895351673
DEU,QGDP,TOT,PC_CHGPY,Q,1984-Q3,3.859431868
DEU,QGDP,TOT,PC_CHGPY,Q,1984-Q4,3.304747767
DEU,QGDP,TOT,PC_CHGPY,Q,1985-Q1,1.400567503
DEU,QGDP,TOT,PC_CHGPY,Q,1985-Q2,4.055948585
DEU,QGDP,TOT,PC_CHGPY,Q,1985-Q3,2.616635647
